City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Sisimiut,GL,66.94,-53.67,29.55,97,93,26.4,light snow
238,Chifeng,CN,42.27,118.96,-0.47,91,19,2.8,few clouds
239,Shostka,UA,51.86,33.47,25.84,95,67,15.46,broken clouds
240,Alghero,IT,40.56,8.32,55.4,82,75,23.04,broken clouds
241,Bolshaya Rechka,RU,51.95,104.74,-18.4,68,75,8.95,snow
242,Odweyne,SO,9.41,45.06,80.62,31,60,5.7,broken clouds
243,Batagay-Alyta,RU,67.8,130.41,-6.63,82,100,5.97,overcast clouds
244,Ranong,TH,9.97,98.63,89.6,62,40,5.82,scattered clouds
245,Airai,TL,-8.93,125.41,64.08,100,100,0.63,light rain
246,Saint-Georges,GD,12.06,-61.75,75.2,88,20,5.82,shower rain
247,Mahuta,TZ,-10.87,39.45,80.38,82,95,5.39,moderate rain
248,Saint Anthony,US,45.02,-93.22,14.0,85,90,6.93,overcast clouds
249,Benguela,AO,-12.58,13.41,80.6,69,90,6.93,overcast clouds
250,Tura,IN,25.52,90.22,64.02,73,100,2.82,overcast clouds
251,Umea,SE,63.83,20.26,32.0,96,75,12.75,light snow
252,Clyde River,CA,70.47,-68.59,-7.6,83,100,33.33,heavy snow
253,Duzce,TR,40.84,31.16,61.79,35,100,3.83,overcast clouds
254,Saint George,US,37.1,-113.58,39.2,60,1,3.36,clear sky
255,Altamira,BR,-3.2,-52.21,75.2,94,90,5.82,thunderstorm with light rain
256,Texarkana,US,33.43,-94.05,46.99,75,1,6.44,clear sky
257,Sur,OM,22.57,59.53,71.37,46,0,18.12,clear sky
258,Huancabamba,PE,-5.24,-79.45,53.49,72,29,1.59,scattered clouds
259,Dublin,US,37.7,-121.94,48.0,87,90,4.7,light rain
260,Richards Bay,ZA,-28.78,32.04,81.72,57,7,10.56,clear sky
261,Saint-Louis,SN,16.33,-15.0,84.2,32,0,2.24,clear sky
262,Coihaique,CL,-45.58,-72.07,59.0,77,0,5.82,clear sky
263,Kenai,US,60.55,-151.26,37.4,74,90,18.34,moderate rain
264,Port-Gentil,GA,-0.72,8.78,80.6,78,75,5.82,broken clouds
265,Mahebourg,MU,-20.41,57.7,82.4,65,75,12.75,broken clouds
266,Zhigansk,RU,66.77,123.37,-4.04,88,100,24.09,overcast clouds
267,Seoul,KR,37.57,126.98,46.4,61,20,1.99,few clouds
268,Namibe,AO,-15.2,12.15,75.2,78,90,11.41,overcast clouds
269,Kamenka,RU,51.32,42.77,21.99,87,1,4.7,clear sky
270,Sao Fidelis,BR,-21.65,-41.75,77.0,78,0,4.7,clear sky
271,Iisalmi,FI,63.56,27.19,26.6,86,90,13.87,overcast clouds
